EXTERNALIDENTIFIER,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
575813829,14,8.5,11.5,14,8.5,1,17.01,17.01,PICK_MODULE,27.39,41.25454545,4,2,0,1,MATRIX,Y
575782854,11,9.25,14.5,14.5,9.25,1,3.11,3.11,PICK_MODULE,31.51,37.56363636,4,2,0,1,MATRIX,Y
575024270,16,10,8.5,16,8.5,1,5.57,5.57,PICK_MODULE,17.71,36.63636364,4,2,0,1,MATRIX,Y
575159953,16,3,13,16,3,4,1.6,6.42,PICK_MODULE,74.95,36.36363636,8,4,1,2,MATRIX,Y
566261800,7.5,3,10.25,10.25,3,3,1.6,4.81,PICK_MODULE,732,35.90909091,23,12,3,6,MATRIX,Y
574642249,11,2.25,10.5,11,2.25,4,0.8,3.2,PICK_MODULE,370.84,35.23636364,20,10,2,5,MATRIX,Y
554897320,1,7,1,7,1,12,0.25,3,PICK_MODULE,154.01,34.69090909,750,380,88,187,MATRIX,Y
564257074,4.25,4,5.25,5.25,4,6,2.51,15.04,PICK_MODULE,24.43,34.69090909,59,30,7,15,MATRIX,Y
574889876,11,2,8,11,2,5,0.42,2.08,PICK_MODULE,79.84,33.09090909,30,15,4,7,MATRIX,Y
555975273,12,9,5,12,5,2,2.01,4.01,PICK_MODULE,774.06,32.98181818,10,5,1,2,MATRIX,Y
567995447,9,5,10,10,5,2,6.52,13.04,PICK_MODULE,34.17,32.81818182,12,6,1,3,MATRIX,Y
569955970,16.75,9.75,4.5,16.75,4.5,2,2.51,5.01,PICK_MODULE,139.54,32.65454545,7,4,1,2,MATRIX,Y
567406540,18,6,12,18,6,1,2.96,2.96,PICK_MODULE,14.23,32.45454545,4,2,0,1,MATRIX,Y
574165174,12.25,12.5,6.5,12.5,6.5,1,2.16,2.16,PICK_MODULE,132.25,31.49090909,5,3,1,1,MATRIX,Y
556319377,12,9.5,13,13,9.5,2,8.63,17.26,OFFLINE_PICK,35.1,31.43636364,4,2,0,1,MATRIX,Y
572624663,16.75,6,11,16.75,6,2,2.93,5.86,PICK_MODULE,342.27,30.61818182,5,2,1,1,MATRIX,Y
554243693,19.7,0.7,19.7,19.7,0.7,4,0.04,0.16,PICK_MODULE,33.44,29.94545455,19,10,2,5,MATRIX,Y
576142096,21,3,13,21,3,1,6.97,6.97,PICK_MODULE,173.95,29.4,6,3,1,2,MATRIX,Y
568386169,11,2.5,12,12,2.5,4,3.01,12.04,PICK_MODULE,19.2,29.25454545,16,8,2,4,MATRIX,Y
571897035,7.5,1.75,9.5,9.5,1.75,6,0.22,1.32,PICK_MODULE,289.31,28.96363636,42,21,5,11,MATRIX,Y
576450659,17.5,3,12,17.5,3,1,4.31,4.31,PALLET_FLOW_MODULE,101.18,28.58181818,8,4,1,2,MATRIX,Y
574216158,13.75,8.5,8.5,13.75,8.5,1,2.46,2.46,PICK_MODULE,116.69,28.41818182,5,3,1,1,MATRIX,Y
565397253,9.5,13.5,4.3,13.5,4.3,3,0.35,1.06,OFFLINE_PICK,39.35,28.2,10,5,1,2,MATRIX,Y
550299393,19.5,6,11.75,19.5,6,2,7.27,14.55,PICK_MODULE,276.2,27.98181818,4,2,0,1,MATRIX,Y
562911538,3.25,8.5,3.25,8.5,3.25,12,0.5,6,PICK_MODULE,243.1,27.50909091,58,30,7,15,MATRIX,Y
575696186,11.5,7,6,11.5,6,1,5.52,5.52,PICK_MODULE,35.24,27.45454545,11,6,1,3,MATRIX,Y
575172784,11.5,14,9,14,9,1,4.01,4.01,PICK_MODULE,48.46,26.83636364,4,2,0,1,MATRIX,Y
575344150,12,5.5,10.5,12,5.5,6,2.06,12.33,PICK_MODULE,43.78,26.61818182,8,4,1,2,MATRIX,Y
551999415,13.25,5.25,9.75,13.25,5.25,1,7.63,7.63,PICK_MODULE,311.67,26.47272727,8,4,1,2,MATRIX,Y
566530335,3.75,0.75,8.25,8.25,0.75,36,0.15,5.42,PICK_MODULE,1310.29,26.10909091,226,115,27,56,MATRIX,Y
576257338,23.75,1,17.5,23.75,1,12,1.1,13.22,PICK_MODULE,39.12,26.07272727,13,6,1,3,MATRIX,Y
575111040,6,10,5,10,5,4,6.07,24.28,PICK_MODULE,23.45,26.03636364,18,9,2,4,MATRIX,Y
577378478,8.5,7.1,5,8.5,5,1,3.01,3.01,PICK_MODULE,36.19,25.87272727,17,9,2,4,MATRIX,Y
1176444,9.5,2,8,9.5,2,6,1.1,6.62,PICK_MODULE,160,24.8,35,18,4,9,MATRIX,Y
573954334,10,13.5,5.5,13.5,5.5,2,2.51,5.01,PICK_MODULE,639.34,24.69090909,7,4,1,2,MATRIX,Y
573617350,12,4,7.5,12,4,4,2.1,8.42,OFFLINE_PICK,56.58,24.14545455,15,7,2,4,MATRIX,Y
555871473,9.75,5.25,13,13,5.25,1,7.12,7.12,PICK_MODULE,24.68,23.72727273,8,4,1,2,MATRIX,Y
576760783,9.25,10.5,8,10.5,8,1,10.69,10.69,PICK_MODULE,517.21,23.69090909,7,3,1,2,MATRIX,Y
556736864,14.75,4.2,18.75,18.75,4.2,2,4.97,9.93,PICK_MODULE,305.3,23.65454545,5,2,1,1,MATRIX,Y
566261688,14.75,3.5,13.5,14.75,3.5,2,2.91,5.82,PICK_MODULE,232.06,23.6,8,4,1,2,MATRIX,Y
572679366,9.25,8.25,12.25,12.25,8.25,1,11.94,11.94,PICK_MODULE,40.94,22.85454545,6,3,1,1,MATRIX,Y
575759630,6.5,2.25,2,6.5,2,12,0.2,2.39,PICK_MODULE,24.99,22.69090909,179,91,21,45,MATRIX,Y
572702914,12.25,7.5,10.5,12.25,7.5,1,11.69,11.69,PICK_MODULE,600.16,22.52727273,5,3,1,1,MATRIX,Y
555203029,14,9,10.75,14,9,2,4.56,9.11,PICK_MODULE,11.55,22.38181818,4,2,0,1,MATRIX,Y
574190683,7.5,10.5,5,10.5,5,2,1.3,2.61,PICK_MODULE,220.81,22.30909091,13,7,2,3,MATRIX,Y
575759607,5,7.75,1.75,7.75,1.75,12,0.45,5.42,PICK_MODULE,89.69,22,77,39,9,19,MATRIX,Y
576905461,7,7,10,10,7,1,10.82,10.82,PICK_MODULE,8.54,21.98181818,11,5,1,3,MATRIX,Y
554405411,6,3,12,12,3,6,1.45,8.72,OFFLINE_PICK,18.19,21.94545455,24,12,3,6,MATRIX,Y
575024268,17,10.25,8.5,17,8.5,1,5.57,5.57,PALLET_FLOW_MODULE,22.74,21.56363636,4,2,0,1,MATRIX,Y
565342517,8.25,1.75,10,10,1.75,4,2.26,9.03,PICK_MODULE,298.2,21.52727273,36,18,4,9,MATRIX,Y
554783280,15.75,3.75,13,15.75,3.75,3,2.71,8.12,PICK_MODULE,34.03,21.29090909,7,3,1,2,MATRIX,Y
573754731,17.5,8.5,5.75,17.5,5.75,2,2.21,4.41,PICK_MODULE,33.58,21.25454545,6,3,1,2,MATRIX,Y
573561545,8,9,4.75,9,4.75,4,5.97,23.88,PICK_MODULE,43.06,21.01818182,15,8,2,4,MATRIX,Y
576414594,2.5,2.5,11.5,11.5,2.5,9,0.8,7.21,PICK_MODULE,62.91,20.94545455,73,37,9,18,MATRIX,Y
563189203,10.5,3,7.25,10.5,3,1,5.22,5.22,PICK_MODULE,116.22,20.92727273,23,12,3,6,MATRIX,Y
568306991,7.5,2.5,12,12,2.5,7,1.3,9.12,OFFLINE_PICK,137.43,20.70909091,23,12,3,6,MATRIX,Y
575896302,15.25,7.25,11.25,15.25,7.25,1,10.93,10.93,PICK_MODULE,113.45,20.52727273,4,2,0,1,MATRIX,Y
576257187,24,1,17,24,1,12,1.4,16.86,PICK_MODULE,35.98,20.29090909,13,7,2,3,MATRIX,Y
553036006,3.5,2,6.5,6.5,2,12,0.3,3.61,PICK_MODULE,95.3,20.09090909,115,58,14,29,MATRIX,Y
556199773,15,3,14.5,15,3,2,1.4,2.81,PICK_MODULE,66.89,20.09090909,8,4,1,2,MATRIX,Y
573565013,11,5.5,10.25,11,5.5,2,2.31,4.62,PICK_MODULE,16.26,19.90909091,8,4,1,2,MATRIX,Y
575409830,11,16,5.5,16,5.5,2,0.6,1.2,PICK_MODULE,89.93,19.85454545,5,3,1,1,MATRIX,Y
576165314,4.5,9,3,9,3,6,1.5,9.03,PICK_MODULE,372.99,19.81818182,43,22,5,11,MATRIX,Y
569045950,13,5,16,16,5,2,2.11,4.21,PICK_MODULE,20.62,19.65454545,5,3,1,1,MATRIX,Y
568171138,10.25,10.25,6.75,10.25,6.75,2,2.81,5.62,PICK_MODULE,40.71,19.61818182,7,4,1,2,MATRIX,Y
554195872,14,2.8,4.25,14,2.8,5,2,10.02,OFFLINE_PICK,26.32,19.56363636,32,16,4,8,MATRIX,Y
575759580,1.75,3.25,1.25,3.25,1.25,12,0.15,1.81,PICK_MODULE,40.85,19.41818182,738,374,87,184,MATRIX,Y
570654758,13.5,3.75,8,13.5,3.75,6,0.95,5.71,OFFLINE_PICK,14.77,19.38181818,13,7,2,3,MATRIX,Y
568545994,11.5,4.25,4.5,11.5,4.25,3,5.57,16.71,PICK_MODULE,41.56,19.36363636,24,12,3,6,MATRIX,Y
552702261,8.25,1.5,5.75,8.25,1.5,7,0.35,2.45,PICK_MODULE,76.28,19.2,74,37,9,18,MATRIX,Y
572485146,2.25,2,9,9,2,24,0.25,6.02,PICK_MODULE,56.18,18.89090909,130,66,15,32,MATRIX,Y
576196233,17.5,15,5,17.5,5,1,10.13,10.13,PICK_MODULE,307.16,18.74545455,4,2,0,1,MATRIX,Y
562906825,7.9,4.9,2,7.9,2,1,1,1,PICK_MODULE,9,18.72727273,68,34,8,17,MATRIX,Y
564207985,17,7.75,11.25,17,7.75,1,7.33,7.33,PICK_MODULE,92.33,18.58181818,4,2,0,1,MATRIX,Y
575329620,13,13,5,13,5,4,0.2,0.8,PICK_MODULE,35.06,18.54545455,6,3,1,2,MATRIX,Y
564130158,4.75,5.75,1.75,5.75,1.75,6,0.35,2.11,PICK_MODULE,66.38,18.52727273,110,56,13,27,MATRIX,Y
576257188,12,1,23,23,1,12,2.01,24.08,PICK_MODULE,199.76,18.29090909,19,10,2,5,MATRIX,Y
555932315,14,9,14,14,9,1,4.11,4.11,PICK_MODULE,72.58,18.23636364,3,2,0,1,MATRIX,Y
575329621,13,13,5,13,5,4,0.2,0.8,PICK_MODULE,41.24,17.98181818,6,3,1,2,MATRIX,Y
571887777,7.5,2.25,14,14,2.25,3,1.1,3.31,PICK_MODULE,112.88,17.96363636,22,11,3,6,MATRIX,Y
567030341,9.5,2.5,11.5,11.5,2.5,8,1.8,14.42,OFFLINE_PICK,55.44,17.92727273,19,10,2,5,MATRIX,Y
566991055,3.5,11.5,3.5,11.5,3.5,4,1.9,7.62,OFFLINE_PICK,24.17,17.85454545,37,19,4,9,MATRIX,Y
554707751,5,0.1,8,8,0.1,4,0.15,0.6,PICK_MODULE,64.11,17.8,1313,665,154,328,MATRIX,Y
1792858,6,11.5,11.25,11.5,6,2,8.08,16.15,PICK_MODULE,14.64,17.8,7,3,1,2,MATRIX,Y
969606,3,8.75,3,8.75,3,12,0.5,6.02,PICK_MODULE,122.91,17.65454545,67,34,8,17,MATRIX,Y
572091121,14.5,8,11.75,14.5,8,2,3.46,6.92,PICK_MODULE,28.64,17.63636364,4,2,0,1,MATRIX,Y
576257201,24,1,17,24,1,12,1.45,17.44,PICK_MODULE,23.01,17.45454545,13,7,2,3,MATRIX,Y
552515116,5,0.1,5,5,0.1,12,0.05,0.58,PICK_MODULE,75.02,17.30909091,2100,1064,247,524,MATRIX,Y
574919770,7.25,2.5,4.5,7.25,2.5,6,1.3,7.82,PICK_MODULE,28.39,17.18181818,64,33,8,16,MATRIX,Y
574351140,13,11,2,13,2,4,1.4,5.62,PICK_MODULE,134.4,17.07272727,18,9,2,5,MATRIX,Y
570371722,4,2,4.5,4.5,2,12,0.75,9.03,PICK_MODULE,57.04,16.67272727,146,74,17,36,MATRIX,Y
574769867,11.75,3,8.25,11.75,3,4,0.55,2.2,PICK_MODULE,313.52,16.61818182,18,9,2,5,MATRIX,Y
550567805,6.5,1.5,5,6.5,1.5,10,0.1,1,PICK_MODULE,183.2,16.50909091,108,55,13,27,MATRIX,Y
551726289,7.5,10.5,2.5,10.5,2.5,12,0.85,10.23,PICK_MODULE,77.91,16.50909091,27,14,3,7,MATRIX,Y
574662792,13,2,13,13,2,4,1.4,5.62,PICK_MODULE,37.48,16.38181818,16,8,2,4,MATRIX,Y
562744738,11,10.75,12,12,10.75,1,15.7,15.7,PICK_MODULE,134.89,16.36363636,4,2,0,1,MATRIX,Y
573359397,12,4.5,17,17,4.5,2,5.01,10.02,PICK_MODULE,243.15,16.29090909,6,3,1,1,MATRIX,Y
576040274,5.5,7.5,1.5,7.5,1.5,12,1,12.03,PICK_MODULE,51.45,16.25454545,85,43,10,21,MATRIX,Y
568012107,9,5,10,10,5,2,6.07,12.15,PICK_MODULE,28.51,16.23636364,12,6,1,3,MATRIX,Y
575586193,24,1,14.5,24,1,12,1,12.03,PICK_MODULE,39.63,16.2,15,8,2,4,MATRIX,Y
576313937,14.75,8.25,10,14.75,8.25,1,4.56,4.56,PICK_MODULE,24.75,15.90909091,4,2,1,1,MATRIX,Y
550341087,3.5,2.25,3.5,3.5,2.25,12,0.8,9.61,PICK_MODULE,81.95,15.87272727,190,97,22,48,MATRIX,Y
574899773,15,5.5,16,16,5.5,2,3.91,7.83,PICK_MODULE,303.86,15.81818182,4,2,0,1,MATRIX,Y
576223228,3.75,7.25,2.25,7.25,2.25,6,0.75,4.51,PICK_MODULE,186.31,15.78181818,86,43,10,21,MATRIX,Y
556514017,12.75,8.75,8.5,12.75,8.5,1,19.77,19.77,OFFLINE_PICK,114.49,15.78181818,6,3,1,1,MATRIX,Y
575409828,16.25,5.25,10.5,16.25,5.25,2,3.26,6.52,PICK_MODULE,125.54,15.65454545,6,3,1,1,MATRIX,Y
573961844,4,10,4,10,4,8,0.95,7.61,PICK_MODULE,40.13,15.50909091,33,17,4,8,MATRIX,Y
554346526,10.5,8.5,8,10.5,8,1,14.2,14.2,PICK_MODULE,53.78,15.50909091,7,4,1,2,MATRIX,Y
570680778,1.5,10,10,10,1.5,12,0.7,8.42,PICK_MODULE,236.47,15.50909091,35,18,4,9,MATRIX,Y
575527603,11,7,10,11,7,1,8.52,8.52,PICK_MODULE,71.92,15.47272727,7,3,1,2,MATRIX,Y
574190681,10.5,10.5,5,10.5,5,2,0.76,1.52,PICK_MODULE,76.56,15.47272727,10,5,1,2,MATRIX,Y
564213821,3.25,2,13,13,2,4,0.35,1.4,PICK_MODULE,80.46,15.45454545,62,31,7,16,MATRIX,Y
573929795,12.5,8.5,2,12.5,2,5,1.15,5.76,PICK_MODULE,165.06,15.4,25,13,3,6,MATRIX,Y
565178673,10,4,14.25,14.25,4,2,3.96,7.92,PICK_MODULE,88.47,15.29090909,9,5,1,2,MATRIX,Y
576091131,6,3,4,6,3,6,0.5,3.01,PICK_MODULE,230.14,15.21818182,73,37,9,18,MATRIX,Y
569744854,9,3,11,11,3,1,11.38,11.38,PICK_MODULE,643.61,15.2,18,9,2,4,MATRIX,Y
575586201,11.5,1,2.5,11.5,1,12,1.1,13.22,PICK_MODULE,40.94,15.16363636,183,93,21,46,MATRIX,Y
575673786,11,4,4,11,4,1,2.16,2.16,PICK_MODULE,199.77,14.89090909,30,15,4,7,MATRIX,Y
572042152,8.5,1,11.5,11.5,1,6,1.2,7.22,PICK_MODULE,66.34,14.87272727,54,27,6,13,MATRIX,Y
574017396,24,15,3.75,24,3.75,3,5.52,16.55,PICK_MODULE,153.36,14.8,4,2,0,1,MATRIX,Y
551347429,4.5,3.5,9,9,3.5,12,1.1,13.22,PICK_MODULE,174.89,14.72727273,37,19,4,9,MATRIX,Y
567545196,15,4,19,19,4,2,1.88,3.77,PICK_MODULE,69.67,14.72727273,5,2,1,1,MATRIX,Y
565293001,6.25,2.75,7.75,7.75,2.75,8,0.3,2.41,PICK_MODULE,365.21,14.63636364,39,20,5,10,MATRIX,Y
550841232,10,4.75,7.5,10,4.75,2,1.3,2.61,PICK_MODULE,34.26,14.61818182,15,7,2,4,MATRIX,Y
574888485,22,14,3.75,22,3.75,3,2.06,6.17,PICK_MODULE,20.53,14.58181818,5,2,1,1,MATRIX,Y
574165188,16.25,8.25,8.25,16.25,8.25,1,5.27,5.27,PICK_MODULE,50.75,14.58181818,5,2,1,1,MATRIX,Y
550154397,2.8,2.8,8.2,8.2,2.8,4,0.85,3.41,PICK_MODULE,120.56,14.56363636,82,41,10,20,MATRIX,Y
576163260,20.75,0.1,19.5,20.75,0.1,48,0.25,12,PICK_MODULE,12.19,14.54545455,130,66,15,32,MATRIX,Y
570920481,2.75,2.5,9.25,9.25,2.5,4,0.65,2.6,PICK_MODULE,48.08,14.41818182,83,42,10,21,MATRIX,Y
564573342,6.5,6.5,2.5,6.5,2.5,6,0.9,5.42,PICK_MODULE,23.98,14.41818182,50,25,6,12,MATRIX,Y
573954330,13.25,5.5,10,13.25,5.5,2,2.01,4.01,PICK_MODULE,36.76,14.4,7,4,1,2,MATRIX,Y
567711277,12.5,4.5,4,12.5,4,1,1.5,1.5,PICK_MODULE,202.6,14.36363636,23,12,3,6,MATRIX,Y
553101731,5.5,3,11.5,11.5,3,12,1.15,13.83,PICK_MODULE,92.56,14.34545455,28,14,3,7,MATRIX,Y
572091085,4,3,3,4,3,6,0.8,4.81,PICK_MODULE,49.01,14.32727273,146,74,17,36,MATRIX,Y
574584390,5.5,5.5,10.25,10.25,5.5,6,0.45,2.71,PICK_MODULE,20.61,14.29090909,17,9,2,4,MATRIX,Y
575425646,5.5,6.5,1.2,6.5,1.2,4,0.7,2.81,PICK_MODULE,64.42,14.29090909,122,62,14,31,MATRIX,Y
4040497,5,5,12,12,5,6,1.35,8.12,OFFLINE_PICK,320.58,14.25454545,18,9,2,4,MATRIX,Y
554237683,12,5.5,11.25,12,5.5,2,2.46,4.92,PICK_MODULE,29.58,14.18181818,7,4,1,2,MATRIX,Y
1325363,2.75,7,2.75,7,2.75,6,0.85,5.11,PICK_MODULE,182.35,14.18181818,99,50,12,25,MATRIX,Y
575896478,12,7,15,15,7,1,10.99,10.99,PICK_MODULE,166.92,14.16363636,4,2,0,1,MATRIX,Y
574810305,11,11,5,11,5,2,10.29,20.57,PICK_MODULE,73.11,14.07272727,9,4,1,2,MATRIX,Y
567670001,5,3.75,5.5,5.5,3.75,2,1.3,2.61,PICK_MODULE,33.77,14.01818182,51,26,6,13,MATRIX,Y
574323117,11,8.75,2.25,11,2.25,4,2.21,8.82,PICK_MODULE,113.01,13.98181818,24,12,3,6,MATRIX,Y
575133116,15,4,9,15,4,5,0.95,4.76,OFFLINE_PICK,33.28,13.98181818,10,5,1,2,MATRIX,Y
576985821,15,1,14,15,1,12,0.85,10.23,PICK_MODULE,33.06,13.96363636,25,13,3,6,MATRIX,Y
563466346,9.5,7.5,10,10,7.5,1,14.4,14.4,OFFLINE_PICK,12.77,13.92727273,7,4,1,2,MATRIX,Y
574584389,5.5,5.5,10.25,10.25,5.5,6,0.45,2.71,PICK_MODULE,50.67,13.85454545,17,9,2,4,MATRIX,Y
567617129,3,8,4,8,3,4,2.25,9.02,PICK_MODULE,232.81,13.81818182,55,28,6,14,MATRIX,Y
572150137,8.5,5,9.25,9.25,5,2,0.75,1.5,PICK_MODULE,158.32,13.69090909,13,7,2,3,MATRIX,Y
574190682,5,10.5,7.5,10.5,5,2,1.35,2.71,PICK_MODULE,31.03,13.67272727,13,7,2,3,MATRIX,Y
575402695,9.5,5,6,9.5,5,1,6.52,6.52,PICK_MODULE,96.38,13.67272727,18,9,2,5,MATRIX,Y
575256174,3,2,6.5,6.5,2,12,0.3,3.61,PICK_MODULE,19.23,13.63636364,135,68,16,34,MATRIX,Y
576293261,18,12,6,18,6,2,6.22,12.44,PICK_MODULE,27.58,13.6,4,2,0,1,MATRIX,Y
575489096,13.25,8,5.5,13.25,5.5,2,1.71,3.41,PICK_MODULE,28.93,13.58181818,9,5,1,2,MATRIX,Y
563076546,7.5,1.25,6,7.5,1.25,5,0.2,1,PICK_MODULE,228.54,13.58181818,93,47,11,23,MATRIX,Y
575703196,19,12.5,2.75,19,2.75,1,5.32,5.32,PICK_MODULE,60.69,13.56363636,8,4,1,2,MATRIX,Y
573615991,10,2,6.5,10,2,8,1,8.03,PICK_MODULE,85.96,13.49090909,40,20,5,10,MATRIX,Y
556128583,5.5,5,5.5,5.5,5,6,0.3,1.81,PICK_MODULE,126.98,13.41818182,35,18,4,9,MATRIX,Y
564257070,4.5,4.25,5.25,5.25,4.25,6,2.51,15.04,PICK_MODULE,53.43,13.41818182,52,26,6,13,MATRIX,Y
576255157,5.5,11.75,11.5,11.75,5.5,1,11.92,11.92,PICK_MODULE,31.71,13.36363636,7,4,1,2,MATRIX,Y
574887505,22,14,3.7,22,3.7,3,2.06,6.17,PICK_MODULE,50.83,13.29090909,5,2,1,1,MATRIX,Y
576257183,27,1,12,27,1,12,2.01,24.08,PICK_MODULE,147.36,13.29090909,16,8,2,4,MATRIX,Y
570010444,6.5,6.75,7.5,7.5,6.5,1,4.71,4.71,PICK_MODULE,48.38,13.27272727,16,8,2,4,MATRIX,Y
574377320,8,8,8,8,8,2,0.25,0.5,PICK_MODULE,150.17,13.25454545,10,5,1,3,MATRIX,Y
556626187,10,6.5,10,10,6.5,2,9.13,18.26,PICK_MODULE,54.1,13.23636364,8,4,1,2,MATRIX,Y
551376022,3.75,2,3.75,3.75,2,1,0.5,0.5,PICK_MODULE,147.38,13.21818182,187,95,22,47,MATRIX,Y
575537364,15,13,5,15,5,2,2.41,4.81,PICK_MODULE,52.41,13.16363636,5,3,1,1,MATRIX,Y
571898378,13.5,9,4,13.5,4,2,1.45,2.91,OFFLINE_PICK,73.78,13.14545455,11,5,1,3,MATRIX,Y
576813535,6.5,5.25,8.25,8.25,5.25,1,7.42,7.42,PICK_MODULE,55.34,13.12727273,19,9,2,5,MATRIX,Y
568377402,13,5,11,13,5,2,2.11,4.21,PICK_MODULE,299.01,13.10909091,7,4,1,2,MATRIX,Y
569822658,3.5,1.5,6.75,6.75,1.5,6,0.5,3,PICK_MODULE,9,13.09090909,148,75,17,37,MATRIX,Y
566954665,6.5,6,6.5,6.5,6,6,1.4,8.4,PICK_MODULE,91.6,13.05454545,21,10,2,5,MATRIX,Y
576042633,8,8,8,8,8,2,0.52,1.04,PICK_MODULE,163.18,13.01818182,10,5,1,3,MATRIX,Y
558203819,9,3.5,13.5,13.5,3.5,6,1.1,6.61,OFFLINE_PICK,72.4,12.94545455,12,6,1,3,MATRIX,Y
573961842,5,12,16,16,5,2,5.32,10.64,PICK_MODULE,29.98,12.94545455,5,3,1,1,MATRIX,Y
553772571,8.5,1,4,8.5,1,12,0.75,9.03,PICK_MODULE,64.93,12.90909091,154,78,18,39,MATRIX,Y
576257336,22.75,1,17.25,22.75,1,12,1.15,13.83,PICK_MODULE,77.78,12.83636364,13,7,2,3,MATRIX,Y
555125660,11,6.75,9.5,11,6.75,4,3.31,13.24,PICK_MODULE,250.08,12.8,7,4,1,2,MATRIX,Y
575027225,10,9,3,10,3,6,1.2,7.22,PICK_MODULE,71.12,12.78181818,19,10,2,5,MATRIX,Y
575425607,9,0.1,6,9,0.1,4,0.15,0.6,PICK_MODULE,25.67,12.78181818,972,493,114,243,MATRIX,Y
555125658,10.75,6.75,18,18,6.75,2,6.12,12.25,PICK_MODULE,20.45,12.76363636,4,2,0,1,MATRIX,Y
576257193,24,1,17,24,1,12,1.35,16.25,PICK_MODULE,122.03,12.76363636,13,7,2,3,MATRIX,Y
576257209,24,1,17,24,1,12,1.25,15.03,PICK_MODULE,238.69,12.74545455,13,7,2,3,MATRIX,Y
554981934,3,1.5,8.25,8.25,1.5,12,0.4,4.81,PICK_MODULE,186.98,12.67272727,141,72,17,35,MATRIX,Y
565522763,6,1.75,5.75,6,1.75,8,0.5,4,PICK_MODULE,151.66,12.65454545,87,44,10,22,MATRIX,Y
576973432,12,1,15,15,1,12,0.85,10.23,PICK_MODULE,40.88,12.6,29,15,3,7,MATRIX,Y
574375476,13.25,11,8.25,13.25,8.25,1,2.51,2.51,PICK_MODULE,147.66,12.54545455,4,2,1,1,MATRIX,Y
564664261,3,7,3,7,3,4,2.31,9.23,PICK_MODULE,36.27,12.54545455,83,42,10,21,MATRIX,Y
574865006,6,5,10,10,5,1,10.99,10.99,PICK_MODULE,61.65,12.54545455,18,9,2,4,MATRIX,Y
576280067,6,3.25,3.5,6,3.25,24,0.55,13.22,PICK_MODULE,70.14,12.49090909,77,39,9,19,MATRIX,Y
572031974,6,8,2,8,2,4,1.5,6.02,PICK_MODULE,24.42,12.43636364,55,28,6,14,MATRIX,Y
